host,link,time,auth,follower,following,age,gender,country,location,sentiment,contents,uniqueid,authname
http://twitter.com/brianna_dyln,http://twitter.com/brianna_dyln/statuses/350511178847494144,2013-06-28T07:09:11Z,3,58,326,,,US,USA,,Miele S2121 Olympus Canister Vacuum Cleaner: The Miele S2 Series Incorporating the quality and performance for... http://t.co/5FRGQ1bn53,3.50511E+17,brianna_dyln
http://twitter.com/bilbilkalgreek,http://twitter.com/BilbilkalGreek/statuses/350650788122603520,2013-06-28T16:23:57Z,2,22,154,,,US,USA,,Miele S2121 Olympus Canister Vacuum Cleaner: The Miele S2 Series Incorporating the quality and performance for... http://t.co/pbDMD77nPF,3.50651E+17,Bilbilkal Greek
http://twitter.com/jimbyrne50,http://twitter.com/jimbyrne50/statuses/371624782728413184,2013-08-25T13:27:07Z,5,343,884,,,US,Metro DC / Maryland,,I love a good vacuum cleaner. about 4 years ago Jon Benet insisted on a Miele (sp)....i think because all the Olney A-listers had them.,3.71625E+17,jim byrne
http://twitter.com/manymeadows,http://twitter.com/manymeadows/statuses/340467910428479488,2013-05-31T14:00:50Z,5,565,316,,,US,"Edmond, Oklahoma",,@DrEmilyTaylor I love our Miele from Edmond Vacuum--Bryant Square. It's worth every $. Go try it out. Does concrete floors great!,3.40468E+17,Robin
http://twitter.com/bertha_blen,http://twitter.com/bertha_blen/statuses/350516793179250689,2013-06-28T07:31:30Z,3,104,250,,,US,USA,,Miele S2121 Olympus Canister Vacuum Cleaner: The Miele S2 Series Incorporating the quality and performance for... http://t.co/DJ8ZFyEkOf,3.50517E+17,bertha_blen
http://twitter.com/specialsaleoff,http://twitter.com/specialsaleoff/statuses/342582656292245505,2013-06-06T10:04:04Z,4,165,313,,,US,United States,,What Is The Very best Miele Vacuum?: Miele has numerous top quality excellent vacuum cleaners in the marketpla... http://t.co/Gbmz2wsyM8,3.42583E+17,Special Sales Off
http://twitter.com/blendeddeals,http://twitter.com/BlendedDeals/statuses/339976609744449536,2013-05-30T05:28:34Z,4,180,357,,,US,USA,,Miele S2121 Olympus Canister Vacuum Cleaner: The Miele S2 Series Incorporating the quality and performance for... http://t.co/yIJ0I4NMl7,3.39977E+17,Belended Deals
http://twitter.com/acehdwwvl,http://twitter.com/AceHdwWVL/statuses/344516695278358528,2013-06-11T18:09:15Z,4,374,177,,,US,"Weaverville, NC",,We are happy to announce that our South Asheville location is now a Miele vacuum authorized dealer! Check out why... http://t.co/5LMkuccsKZ,3.44517E+17,Ace Hardware
http://twitter.com/greenhomedecor,http://twitter.com/greenhomedecor/statuses/365598237173882881,2013-08-08T22:19:46Z,7,3554,4005,,,US,"Seattle, Washington",,#7: Miele Genuine GN Airclean Dust bags 8 bags w/4 filters FOR MIELE VACUUM http://t.co/OxYofMVTrc,3.65598E+17,AmazonHomedecor
http://twitter.com/specialsaleoff,http://twitter.com/specialsaleoff/statuses/391571969834876929,2013-10-19T14:30:07Z,4,165,313,,,US,United States,,What Is The Most effective Miele Vacuum?: Miele has quite a few premium top quality vacuum cleaners in the mar... http://t.co/IqefKDfrRg,3.91572E+17,Special Sales Off
