host,link,time,auth,follower,following,age,gender,country,location,sentiment,contents,uniqueid,authname
http://twitter.com/mylitter,http://twitter.com/mylitter/statuses/384833640762322944,2013-10-01T00:14:24Z,7,5530,4498,,,US,Houston TX,,Bissell PowerForce Compact Vacuum Just $24.95 from Walmart!: Walmart has a great deal on a nice Bissell vacuu... http://t.co/jAcFEVzWfT,3.84834E+17,Tiffany (MyLitter)
http://twitter.com/tisonlyme143,http://twitter.com/tisonlyme143/statuses/341904329474703361,2013-06-04T13:08:39Z,4,313,274,,,US,"New Bedford, MA",,RT @SJBlahBlahBlog I love my NEW Bissell #CleanView Vacuum! #sponsored Swing by and check out my #review! Great Vacuum! @bissellclean http://t.co/idobcXgxbM,3.41904E+17,Dorothy Boucher
http://twitter.com/sjblahblahblog,http://twitter.com/SJBlahBlahBlog/statuses/345226370143633409,2013-06-13T17:09:15Z,8,22793,19298,,,US,New Mexico,,I love my NEW Bissell #CleanView Vacuum! #sponsored Swing by and check out my #review! Great Vacuum! @bissellclean http://t.co/idobcXgxbM,3.45226E+17,Jenn Worden
http://twitter.com/actorslounge,http://twitter.com/ActorsLounge/statuses/383678781732683776,2013-09-27T19:45:24Z,8,8281,2005,,,US,New York City,,@BISSELLclean Bissell Vacuum Cleaners Really Suck  and not in a good way!,3.83679E+17,Actors Lounge
http://twitter.com/butternutbob,http://twitter.com/butternutbob/statuses/349880469095063553,2013-06-26T13:22:58Z,3,62,156,,,US,"Tampa, Florida",,Check out this great item: (2) BISSELL ProLite Series Vacuum Cleaner Belts #32053 Style 6 ~ NEW IN PACK! http://t.co/oWN6eL0ZH8,3.4988E+17,butternutbob
http://twitter.com/blueviolet,http://twitter.com/blueviolet/statuses/383339368452464641,2013-09-26T21:16:42Z,8,21323,9741,,,US,Greenville North Carolina,,There is a new Vacuum in town - AWESOME Super COOL and AMAZING BISSELL PowerGlide #Review - http://t.co/HmBNOorQH8 via @mausekindmom,3.83339E+17,Liz
http://twitter.com/extradealz,http://twitter.com/ExtraDealz/statuses/395484030247768066,2013-10-30T09:35:15Z,4,160,682,,,US,USA,,Cool Deal Bissell PowerForce Compact Vacuum for $24.95: At Walmart Click Here http://t.co/3F2ciwUBPF,3.95484E+17,Extra Deal
http://twitter.com/butternutbob,http://twitter.com/butternutbob/statuses/349521303906160641,2013-06-25T13:35:47Z,3,62,156,,,US,"Tampa, Florida",,Check out this great item: (2) BISSELL ProLite Series Vacuum Cleaner Belts #32053 Style 6 ~ NEW IN PACK! http://t.co/oWN6eL0ZH8,3.49521E+17,butternutbob
http://twitter.com/butternutbob,http://twitter.com/butternutbob/statuses/351053793519083522,2013-06-29T19:05:21Z,3,62,156,,,US,"Tampa, Florida",,Check out this great item: (2) BISSELL ProLite Series Vacuum Cleaner Belts #32053 Style 6 ~ NEW IN PACK! http://t.co/oWN6eL0ZH8,3.51054E+17,butternutbob
http://twitter.com/tammyschweitz57,http://twitter.com/tammyschweitz57/statuses/343597271516065793,2013-06-09T05:15:47Z,5,351,2001,,,US,Mesa AZ,,RT @SJBlahBlahBlog I love my NEW Bissell #CleanView Vacuum! #sponsored Swing by and check out my #review! Great Vacuum! @bissellclean http://t.co/idobcXgxbM,3.43597E+17,tammy schweitzer
http://twitter.com/cricetjean,http://twitter.com/CricetJean/statuses/341673218576367616,2013-06-03T21:50:17Z,4,310,1887,,,US,"Gonzales, LA",,RT @SJBlahBlahBlog I love my NEW Bissell #CleanView Vacuum! #sponsored Swing by and check out my #review! Great Vacuum! @bissellclean http://t.co/idobcXgxbM,3.41673E+17,Cricet Jean Gentry
http://twitter.com/mausekindmom,http://twitter.com/mausekindmom/statuses/383214263306690560,2013-09-26T12:59:34Z,7,4422,784,,,US,Florida,,There is a new Vacuum in town and it’s called the AWESOME Super COOL and AMAZING BISSELL PowerGlide #Review http://t.co/oKa6OBRJMc,3.83214E+17,Two Boys One Girl
http://twitter.com/extradealz,http://twitter.com/ExtraDealz/statuses/387776646583177216,2013-10-09T03:08:51Z,4,160,682,,,US,USA,,Cool Deal Bissell PowerForce Compact Vacuum for $24.95: At Walmart Click Here http://t.co/sOPuLWACrk,3.87777E+17,Extra Deal
