host,link,time,auth,follower,following,age,gender,country,location,sentiment,contents,uniqueid,authname
http://twitter.com/comtechmt,http://twitter.com/comtechmt/statuses/402304021060673536,2013-11-18T05:15:27Z,2,14,3,,,US,"Billings, MT",,Many day/night cameras can see and record quality images and video at 1 Lux or less. In fact some Honeywell... http://t.co/Hgx6sccPJK,4.02304E+17,COMTECH ATS
http://twitter.com/connectedhavasu,http://twitter.com/ConnectedHavasu/statuses/390213412456005632,2013-10-15T20:31:42Z,4,97,52,,,US,"Lake Havasu City, AZ",,Pricey but very cool! - Honeywell Wi-Fi Smart Thermostat review: Call it the anti-Nest | TechHive http://t.co/QLnPEYZxzQ,3.90213E+17,Connected
http://twitter.com/egraham63,http://twitter.com/egraham63/statuses/355173923538731008,2013-07-11T03:57:16Z,2,37,249,,,US,Oklahoma,,1st Annual Superior / Honeywell Sales Meeting? Seems like a great idea! @RDougWright #prairiedunes,3.55174E+17,Eric Graham
http://twitter.com/honeywell_aero,http://twitter.com/Honeywell_Aero/statuses/346662478211608576,2013-06-17T16:15:50Z,7,6804,964,,,US,"Phoenix, AZ",,Great pic! #PASTop50 RT @chaimosina: Great day at the #pas13 with the @AirbusInTheUS and @British_Airways A380 wing. http://t.co/cAUCY1K70y,3.46662E+17,Honeywell Aerospace
http://twitter.com/honeywell_aero,http://twitter.com/Honeywell_Aero/statuses/346744787979886592,2013-06-17T21:42:54Z,7,6804,964,,,US,"Phoenix, AZ",,@BoeingAirplanes Great photo of Air India's Dreamliner! We hope you include some of your top visual moments from #PAS13 with #PASTop50,3.46745E+17,Honeywell Aerospace
http://twitter.com/iphone5_____,http://twitter.com/iphone5_____/statuses/376864093627351041,2013-09-09T00:26:16Z,3,42,52,,,US,USA,,Honeywell Wi-Fi Smart Thermostat: CNET Editorâs Rating: User Rating: Good: Along with straightforward management... http://t.co/W2Lb87tJ2b,3.76864E+17,iPhone5LiveUpdates
http://twitter.com/_tierrasoboojie,http://twitter.com/_Tierrasoboojie/statuses/402811625356673024,2013-11-19T14:52:30Z,6,822,656,,,US,Miami/Tally,,RT @PharmD2016: Someone tell me again why Honeywell hasn't been teaching us?! A young gal in here learning and stuff! ☺️😊,4.02812E+17,Dr. Boojie
http://twitter.com/qualityhomeware,http://twitter.com/QualityHomeware/statuses/349154028225183744,2013-06-24T13:16:21Z,1,5,16,,,US,New York,,Honeywell Long-Life Pure HEPA QuietCare Air Purifier  17000: Overall... http://t.co/J8ZJXVZlZT #AirConditioning #Cool #Fan #homeandgarden,3.49154E+17,Ultimate Homeware
http://twitter.com/emily_honeywell,http://twitter.com/emily_honeywell/statuses/376747907677839360,2013-09-08T16:44:35Z,4,175,152,,,US,Texas,,Tattoos look good on hot people idk,3.76748E+17,Emily Honeywell
http://twitter.com/honeywell_aero,http://twitter.com/Honeywell_Aero/statuses/385147147278364672,2013-10-01T21:00:10Z,7,6804,964,,,US,"Phoenix, AZ",,Happy #CXDay! We're committed to our customers: http://t.co/Y4KNHjpmZl #customerexperience #CX #AeroStories,3.85147E+17,Honeywell Aerospace
