host,link,time,auth,follower,following,age,gender,country,location,sentiment,contents,uniqueid,authname
http://twitter.com/lauramarive,http://twitter.com/lauramarive/statuses/363497395985715200,2013-08-03T03:11:47Z,2,22,195,,,US,"LA, CA",,#BestSeller #5: Oreck Commercial CCPK8DW Type CC High Filtration Genuine Celoc Filter Vacuum Bag for XL Model... http://t.co/xlOBiIzEV8,3.63497E+17,laura marive
http://twitter.com/lindasmith365,http://twitter.com/lindasmith365/statuses/368312446898823168,2013-08-16T10:05:04Z,4,43,1,,,US,Los Angeles,,Oreck Commercial CCPK8DW Type CC High Filtration Genuine Celoc Filter Vacuum Bag for XL Model Vacuum... http://t.co/2z0AGfr4bZ #Industrial,3.68312E+17,fashionshoesshop
http://twitter.com/lindasmith365,http://twitter.com/lindasmith365/statuses/369718339305623552,2013-08-20T07:11:35Z,4,43,1,,,US,Los Angeles,,Oreck Commercial CCPK8DW Type CC High Filtration Genuine Celoc Filter Vacuum Bag for XL Model Vacuum... http://t.co/QvEyCwqUgt #Industrial,3.69718E+17,fashionshoesshop
http://twitter.com/lilysmith365,http://twitter.com/lilysmith365/statuses/370442731723558912,2013-08-22T07:10:04Z,2,6,2,,,US,Los Angeles,,Oreck Commercial CCPK8DW Type CC High Filtration Genuine Celoc Filter Vacuum Bag for XL Model Vacuum... http://t.co/byk3QzgLNd #Industrial,3.70443E+17,Lilysmith
http://twitter.com/lindasmith365,http://twitter.com/lindasmith365/statuses/371234884531941377,2013-08-24T11:37:48Z,4,43,1,,,US,Los Angeles,,Oreck Commercial CCPK8DW Type CC High Filtration Genuine Celoc Filter Vacuum Bag for XL Model Vacuum... http://t.co/gIUYbTIfGP #Industrial,3.71235E+17,fashionshoesshop
http://twitter.com/lilianne_linsay,http://twitter.com/Lilianne_Linsay/statuses/363497395406897152,2013-08-03T03:11:47Z,5,670,437,,,US,US,,#BestSeller #5: Oreck Commercial CCPK8DW Type CC High Filtration Genuine Celoc Filter Vacuum Bag for XL Model... http://t.co/TqiwQIMueM,3.63497E+17,Lilianne Linsay
http://twitter.com/lilysmith365,http://twitter.com/lilysmith365/statuses/369722247268675584,2013-08-20T07:27:07Z,2,6,2,,,US,Los Angeles,,Oreck Commercial CCPK8DW Type CC High Filtration Genuine Celoc Filter Vacuum Bag for XL Model Vacuum... http://t.co/Y4TWvbxhHZ #Industrial,3.69722E+17,Lilysmith
http://twitter.com/tvdealsforyou,http://twitter.com/tvdealsforyou/statuses/363462036451110912,2013-08-03T00:51:16Z,2,12,19,,,US,USA,,Oreck Hypo-Allergenic CELOC Filter Bags Type CC for Uprights with Bag Docking Systems 8 pk. - Genuine Oreck... http://t.co/DczScPFTdx,3.63462E+17,TVDeals4u
http://twitter.com/lilysmith365,http://twitter.com/lilysmith365/statuses/371239041519214593,2013-08-24T11:54:19Z,2,6,2,,,US,Los Angeles,,Oreck Commercial CCPK8DW Type CC High Filtration Genuine Celoc Filter Vacuum Bag for XL Model Vacuum... http://t.co/TdUl0aszBr #Industrial,3.71239E+17,Lilysmith
http://twitter.com/oreck,http://twitter.com/oreck/statuses/381176396799684608,2013-09-20T22:01:49Z,7,5559,216,,,US,"Nashville, TN",,Thank you for 50 great years! Are you ready for the next 50? http://t.co/vbLZCiQRJZ,3.81176E+17,Oreck
