host,link,time,auth,follower,following,age,gender,country,location,sentiment,contents,uniqueid,authname
http://twitter.com/rttherealest,http://twitter.com/RTtheRealest/statuses/380323472377135105,2013-09-18T13:32:36Z,4,238,367,,,CA,"Small City, Big Dreams. T.O.",,This guy brought a tropicana jug onto the bus...just downed it for like a good minute...the thirst is real...,3.80E+17,Rodmond
http://twitter.com/tropicana,http://twitter.com/Tropicana/statuses/380318679042240512,2013-09-18T13:13:33Z,10,67376,2551,,,,,,@fracai Great idea! Is that what you did this AM?,3.80E+17,Tropicana
http://twitter.com/hanna_tropicana,http://twitter.com/Hanna_Tropicana/statuses/380298667845894144,2013-09-18T11:54:02Z,4,159,359,,,,In The Middle Of Somewhere,,Feel like I'm gonna hurl. #great,3.80E+17,Hanna Marie
http://twitter.com/gorgeouschaos_,http://twitter.com/GorgeousChaos_/statuses/380278097456939008,2013-09-18T10:32:18Z,7,5209,4068,,,,DMV to NC ^.^,,Goldfish and a tropicana.. im happy ^.^,3.80E+17,6 . 30 . ❤ .
http://twitter.com/glock35gal,http://twitter.com/Glock35Gal/statuses/380260123307814912,2013-09-18T09:20:52Z,5,470,1028,,,US,"Burbank, CA",,@Tropicana GREAT campaign against childhood obesity going on! Would you consider donating & a RT? http://t.co/ZbkAgShyBM … Thank you!,3.80E+17,Cardinal Robbins
http://twitter.com/naomiwbu,http://twitter.com/naomiwbu/statuses/380222915033448448,2013-09-18T06:53:01Z,3,151,220,,,GB,manchester,,RT @laurendrevs Got Wham - Club Tropicana as my alarm tone tomorrow  will be a very happy wake up.,3.80E+17,نعومي
http://twitter.com/nickikatz,http://twitter.com/NickiKatz/statuses/380213238639497216,2013-09-18T06:14:34Z,6,1173,750,,,US,"Hollywood, CA",,@helslevy Great meeting you at the Tropicana tonight! @MsInTheBiz Superheroines unite.,3.80E+17,Nicki Katz
http://twitter.com/iiichainzz,http://twitter.com/IIIChainzz/statuses/380197637661552640,2013-09-18T05:12:35Z,3,57,94,,,,,,Portos closed? It's cool Tropicana stay open.,3.80E+17,Dario
http://twitter.com/cool_mulatto,http://twitter.com/Cool_Mulatto/statuses/380179138856091648,2013-09-18T03:59:04Z,6,778,541,,,,Houstatlantavegas,,In a few years I guarantee you'll be thirsty and by then ill be looking like tropicana twist..,3.80E+17,light knight
http://twitter.com/degaussedkaren,http://twitter.com/degaussedkaren/statuses/380160799701872641,2013-09-18T02:46:12Z,4,190,386,,,,,,fun fact: @theantlers follow tropicana on twitter. have some orange juice with your absolute misery!,3.80E+17,karen dieso
http://twitter.com/so_tropicana,http://twitter.com/so_tropicana/statuses/380158354338770944,2013-09-18T02:36:29Z,4,179,109,,,US,vegas,,good times  bad times  you know I've had my share.,3.80E+17,peachy
http://twitter.com/jadeilagan,http://twitter.com/jadeilagan/statuses/380158250047381504,2013-09-18T02:36:04Z,4,158,154,,,PH,"Manila, Philippines",,RT @CocoQuenchPH Up to 50% OFF for every dozen of 330ml Tropicana Coco Quench! Have a refreshing Wednesday everyone! http://t.co/ajs3Uik7JW,3.80E+17,Jade Ilagan
http://twitter.com/cocoquenchph,http://twitter.com/CocoQuenchPH/statuses/380157908710723585,2013-09-18T02:34:43Z,3,101,81,,,,,,Up to 50% OFF for every dozen of 330ml Tropicana Coco Quench! Have a refreshing Wednesday everyone! http://t.co/ajs3Uik7JW,3.80E+17,Tropicana CocoQuench
http://twitter.com/maddiejf98,http://twitter.com/Maddiejf98/statuses/380149742434402304,2013-09-18T02:02:16Z,4,293,849,,,US,"Fort Wayne, Indiana, USA",,@Tropicana That looks so good!,3.80E+17,The Name Is Maddie
http://twitter.com/kaythebroad,http://twitter.com/KAYTheBroad/statuses/380136767967334401,2013-09-18T01:10:42Z,5,650,494,,,,,,RT @DamnBri_Thick “@Fat_Lip_Bastard: Ever had some juice that was so good you felt the need to read the ingredients” yea lmao peach orchid Tropicana,3.80E+17,Kendahl B
http://twitter.com/fat_lip_bastard,http://twitter.com/Fat_Lip_Bastard/statuses/380136641089638400,2013-09-18T01:10:12Z,5,607,464,,,,,,RT @DamnBri_Thick “@Fat_Lip_Bastard: Ever had some juice that was so good you felt the need to read the ingredients” yea lmao peach orchid Tropicana,3.80E+17,(-(-_(-__-)_-)-)
http://twitter.com/damnbri_thick,http://twitter.com/DamnBri_Thick/statuses/380135812815261696,2013-09-18T01:06:55Z,6,872,351,,,,910 ✈910,,“@Fat_Lip_Bastard: Ever had some juice that was so good you felt the need to read the ingredients” yea lmao peach orchid Tropicana,3.80E+17,❤ Country Gurl❤
http://twitter.com/big_rayn,http://twitter.com/Big_Rayn/statuses/380130141877190656,2013-09-18T00:44:22Z,4,118,60,,,US,"DeWitt, Michigan",,@sonofaBEECH29 @KevinAlverson @Dat_kid22 it's black and yellow including the interior Have fun in your tropicana mobile 👌,3.80E+17,Patrick Raynor®
http://twitter.com/laurendrevs,http://twitter.com/laurendrevs/statuses/380108938999783424,2013-09-17T23:20:07Z,5,785,654,,,GB,Manchester,,Got Wham - Club Tropicana as my alarm tone tomorrow  will be a very happy wake up.,3.80E+17,Lauren
http://twitter.com/janehamblin,http://twitter.com/JaneHamblin/statuses/380107529453588480,2013-09-17T23:14:31Z,2,32,109,,,US,"Saint Petersburg, FL",,We have great seats tonight! Let's hope we see a win! @ Tropicana Field http://t.co/Ei2pgtHhXp,3.80E+17,Jane Hamblin
http://twitter.com/mhilton93,http://twitter.com/MHilton93/statuses/380085114010873856,2013-09-17T21:45:27Z,5,358,350,,,GB,Manchester,,Tropicana orange juice is so tasty!,3.80E+17,Melissa.
http://twitter.com/tropicana_pink,http://twitter.com/Tropicana_Pink/statuses/380084498886828032,2013-09-17T21:43:00Z,5,565,537,,,,,,Popeyes sound good asf right now !,3.80E+17,iPinky ❤
