host,link,time,auth,follower,following,age,gender,country,location,sentiment,contents,uniqueid,authname
http://twitter.com/officialtfgm,http://twitter.com/OfficialTfGM/statuses/380332277076484097,2013-09-18T14:07:36Z,8,10709,205,,,GB,Greater Manchester,,The Red Bull #CityTrial event is going to be a really great event. Are you going? http://t.co/adqNKsOg7q http://t.co/qTNSrKSQGE,3.80E+17,TfGM
http://twitter.com/jodeltino,http://twitter.com/Jodeltino/statuses/380330919259013120,2013-09-18T14:02:12Z,4,214,331,,,US,"San Diego, CA by way of L.A.",,Pretty damn cool. RT @RevoltInStyleSD: Coolest Bike Video EVER! Red Bull GoPro Red Bull http://t.co/k8AVpAzNXI,3.80E+17,Jae Del Manzano
http://twitter.com/biancajoyyy,http://twitter.com/biancajoyyy/statuses/380330719102267393,2013-09-18T14:01:24Z,4,275,289,,,US,Texas,,I got my redbull for the day and now I'm such a happy girl ♥,3.80E+17,Bianca Joy Alejandro
http://twitter.com/muziou,http://twitter.com/muziou/statuses/380330582934585344,2013-09-18T14:00:51Z,5,268,132,,,ZA,"JHB, South Africa",,Well that was cool ! Redbull stage blessed by bass . Now enroute home . Bye pta,3.80E+17,Mvzi in the pants
http://twitter.com/karenwelsh13,http://twitter.com/karenwelsh13/statuses/380330425144446977,2013-09-18T14:00:14Z,3,46,313,,,,east yorkshire,,@MercedesAMGF1 @RocketF1 looks faboulous!! can you get ross brawn to wish me a happy birthday on sunday please ipro Karen red bull,3.80E+17,karen welsh
http://twitter.com/naturallytammii,http://twitter.com/naturallytammii/statuses/380329683935440899,2013-09-18T13:57:17Z,5,373,378,,,ZA,"Cape Town, South Africa",,Look what @chegg sent me with my books #redbull #5gum and coupons to other websites !! How cool is that!!?? http://t.co/R26dbtzixa,3.80E+17,mademoiselle_asili
http://twitter.com/ford_proctor,http://twitter.com/Ford_Proctor/statuses/380329014075736064,2013-09-18T13:54:37Z,4,276,223,,,,,,“@Jordantknight: This red bull is doing me good.” Rt,3.80E+17,Ford Proctor
http://twitter.com/kocaine_kisses,http://twitter.com/Kocaine_Kisses/statuses/380328957792366593,2013-09-18T13:54:24Z,5,302,476,,,,,,I had a redbull today  i feel good,3.80E+17,*lexie*
http://twitter.com/dbella4,http://twitter.com/DBella4/statuses/380328811448905730,2013-09-18T13:53:49Z,3,139,350,,,CA,Toronto Ontario,,@secretlocation great conference today on Redbull playgrounds app  Big brother and Chipotle.,3.80E+17,Danielle Belcourt
http://twitter.com/coachmcollins,http://twitter.com/CoachMCollins/statuses/380326471312482304,2013-09-18T13:44:31Z,4,347,460,,,US,"Weatherford, Oklahoma",,Donuts  Redbull  and some old 3 Doors Down in the office this morning....it's guna be a good day,3.80E+17,Michael Collins
